linguagem,dimensao,size,l_value,execution_time_s,peak_memory_bytes
python,1d,high,2000,0.045173228998464765,98248.0
julia,2d,low,200,0.221537654,960616.0
julia,1d,low,500,0.000562322,12728.0
python,1d,low,500,0.03510402800020529,26220.0
julia,1d,high,2000,0.002353765,48568.0
python,2d,high,500,7.437229246999777,10102620.0
python,2d,high,500,7.239843598001244,10102620.0
python,1d,high,2000,0.055521615999168716,98248.0
julia,2d,low,200,0.191435308,960616.0
python,2d,low,200,1.0390805139995791,1721792.0
python,2d,low,200,1.0475053209993348,1721792.0
python,2d,low,200,1.081212194998443,1721792.0
python,1d,high,2000,0.054931224998654216,98248.0
python,1d,low,500,0.0356474119998893,26220.0
julia,1d,low,500,0.000623567,12696.0
python,1d,low,500,0.04458723900097539,26220.0
julia,1d,low,500,0.000602379,12696.0
python,2d,low,200,1.0723138559988001,1721792.0
julia,1d,low,500,0.000623704,12696.0
python,2d,low,200,1.084536948999812,1721792.0
python,2d,high,500,7.374389062000773,10102620.0
julia,1d,low,500,0.000518513,12696.0
python,1d,low,500,0.044473079999079346,26220.0
julia,2d,high,500,1.1476726,6006360.0
julia,2d,low,200,0.202323326,960712.0
python,2d,high,500,7.286248422999051,10102620.0
julia,1d,low,500,0.000506922,12696.0
julia,2d,low,200,0.185346766,960680.0
julia,2d,low,200,0.228201136,960616.0
julia,2d,high,500,1.219990003,6006360.0
julia,1d,low,500,0.000624271,12664.0
julia,1d,high,2000,0.003032724,48568.0
python,1d,high,2000,0.05516157500096597,98248.0
python,2d,low,200,1.1525861570007692,1721792.0
julia,1d,high,2000,0.002840166,48568.0
julia,2d,high,500,1.780078794,6009232.0
julia,2d,high,500,1.160010153,6006360.0
julia,2d,high,500,1.232133623,6009232.0
julia,1d,high,2000,0.002382371,48568.0
julia,1d,high,2000,0.002592811,48600.0
julia,1d,high,2000,0.002883071,48568.0
python,1d,low,500,0.04516978199899313,26220.0
python,1d,low,500,0.03668072099935671,26220.0
python,2d,high,500,12.771657448000042,10102620.0
julia,2d,low,200,0.190958945,960712.0
julia,2d,low,200,0.186325212,960616.0
python,1d,high,2000,0.06032996100111632,98248.0
python,1d,high,2000,0.04707377600061591,98248.0
python,2d,high,500,8.287987208001141,10102620.0
julia,1d,high,2000,0.002898338,48632.0
python,2d,low,200,1.0635681349995139,1721792.0
julia,1d,low,500,0.000601762,12696.0
julia,2d,high,500,1.125578623,6006392.0
python,1d,high,2000,0.04476233800050977,98248.0
julia,2d,low,200,0.182838877,960712.0
python,1d,high,2000,0.04892868099886982,98248.0
julia,1d,high,2000,0.002818117,48600.0
python,1d,high,2000,0.045249364999108366,98248.0
python,1d,high,2000,0.04544707700006256,98248.0
julia,1d,low,500,0.000540498,12696.0
julia,1d,high,2000,0.002460085,48632.0
python,2d,low,200,1.0364324649999617,1721792.0
python,2d,high,500,7.5527404509994085,10102620.0
python,1d,low,500,0.03514063900001929,26220.0
python,2d,high,500,7.434024615000453,10102620.0
python,2d,low,200,1.128297895000287,1721792.0
python,1d,low,500,0.037126043000171194,26220.0
julia,2d,low,200,0.18608961,960616.0
python,2d,high,500,7.477912964999632,10102620.0
python,2d,low,200,1.0509107340003538,1721792.0
julia,2d,high,500,1.335654976,6006360.0
julia,2d,high,500,1.346126894,6003488.0
julia,2d,high,500,1.120532791,6009232.0
python,1d,low,500,0.03556742499858956,26220.0
julia,2d,high,500,1.408967959,6006360.0
julia,1d,high,2000,0.002829388,48632.0
julia,2d,low,200,0.182425607,960616.0
python,1d,low,500,0.03546733899929677,26220.0
python,2d,high,500,7.500781820999691,10102620.0
julia,1d,low,500,0.000514772,12664.0
