ContainerID,language,dimension,Size,L_Value,Timestamp,sum_t0,sum_tmax,t_exec,peak_mem
04ba44df17fc,julia,2d,low,500,11:21:07,27889.0,27889.0,2.156210151,6000480
f63c6d744297,julia,2d,mid,750,11:21:17,62500.0,62500.0,5.038661019,13500576
fef606e9f06d,julia,2d,mid,750,11:23:21,62500.0,62500.0,5.042537326,13500576
0da174fe5b1c,julia,2d,low,500,11:24:10,27889.0,27889.0,2.155960187,6000480
109d6a7f5fb2,julia,2d,mid,750,11:27:43,62500.0,62500.0,5.04535744,13500576
38d400ff3e89,julia,2d,low,500,11:28:39,27889.0,27889.0,2.155071989,6000480
6a76aa72f26c,julia,2d,high,1000,11:32:00,110889.00000000003,110889.0,10.034961776,24000480
efcc853c06c8,julia,2d,low,500,11:32:46,27889.0,27889.0,2.191028681,6000480
6b1179b1e5d9,julia,2d,mid,750,11:33:08,62500.0,62500.0,5.050320522,13500576
329fdbeb30a3,julia,2d,high,1000,11:35:21,110889.00000000003,110889.0,10.026797817,24000480
210235ccf17a,julia,2d,high,1000,11:37:43,110889.00000000003,110889.0,10.024211073,24000480
3ebe369eed2e,julia,2d,high,1000,11:38:15,110889.00000000003,110889.0,10.025324292,24000480
8739f8e32fd4,julia,2d,mid,750,11:38:31,62500.0,62500.0,5.065987521,13500576
98dc50f7d235,julia,2d,high,1000,12:01:04,110889.00000000003,110889.0,10.081866745,24000480
fc2baee5bece,julia,2d,mid,750,12:01:14,62500.0,62500.0,5.039523588,13500576
27a22468b19d,julia,2d,mid,750,12:02:20,62500.0,62500.0,5.044749444,13500576
bb5671174f6d,julia,2d,low,500,12:02:37,27889.0,27889.0,2.160644595,6000480
1d7f3fe4f9fc,julia,2d,mid,750,12:03:07,62500.0,62500.0,5.1557043,13500576
168cb17c6556,julia,2d,high,1000,12:03:21,110889.00000000003,110889.0,10.459511924,24000480
5f22da0f0b4f,julia,2d,high,1000,12:04:31,110889.00000000003,110889.0,10.183035388,24000480
f00b5d22bf18,julia,2d,mid,750,12:04:41,62500.0,62500.0,5.308828383,13500576
77796b24fbe5,julia,2d,low,500,12:07:40,27889.0,27889.0,2.340472397,6000480
9ba6f6d303ed,julia,2d,low,500,12:09:04,27889.0,27889.0,2.209937601,6000480
8896921f203a,julia,2d,low,500,12:10:25,27889.0,27889.0,2.158680653,6000480
8b842e5f3229,julia,2d,high,1000,12:13:13,110889.00000000003,110889.0,10.49458286,24000480
d90f950f7ce9,julia,2d,low,500,12:13:19,27889.0,27889.0,2.206792286,6000480
9c6e75879c79,julia,2d,low,500,12:13:59,27889.0,27889.0,2.219986969,6000480
6a3c2a595415,julia,2d,mid,750,12:15:00,62500.0,62500.0,5.099860167,13500576
6fff3ea9645d,julia,2d,high,1000,12:18:25,110889.00000000003,110889.0,10.425357492,24000480
602887eed860,julia,2d,high,1000,12:18:51,110889.00000000003,110889.0,10.123325574,24000480
