ContainerID,language,dimension,Size,L_Value,Timestamp,sum_t0,sum_tmax,t_exec,peak_mem
d65a8b18ecca,python,2d,mid,750,11:21:01,62500.000000000015,62500.0,16.344828965000033,22586464
ea1c92affa4f,python,2d,high,1000,11:24:04,110889.0,110889.0,32.657236283999964,40070520
b5faecf7f0f1,python,2d,high,1000,11:24:44,110889.0,110889.0,31.948692918999996,40070520
6c010d8120db,python,2d,low,500,11:28:27,27889.000000000004,27889.0,7.978546667000046,10102464
8ff3b9522321,python,2d,mid,750,11:31:10,62500.000000000015,62500.0,15.30606615900001,22586464
c22f3278865e,python,2d,mid,750,11:31:28,62500.000000000015,62500.0,16.515889861000005,22586464
dba9e4244501,python,2d,mid,750,11:37:29,62500.000000000015,62500.0,15.189078248999976,22586464
50a2eb9edbe6,python,2d,mid,750,11:38:01,62500.000000000015,62500.0,16.630577182000025,22586464
a3e0e7e22fa2,python,2d,high,1000,11:39:04,110889.0,110889.0,31.394889368999884,40070520
b5d5a697a2c8,python,2d,high,1000,11:39:38,110889.0,110889.0,32.11386618100005,40070520
06e5e154a3a6,python,2d,low,500,12:02:10,27889.000000000004,27889.0,7.97781765600007,10102464
06e4f3f43090,python,2d,low,500,12:02:31,27889.000000000004,27889.0,8.00422818700008,10102464
1486a935f88e,python,2d,mid,750,12:04:05,62500.000000000015,62500.0,17.685533435000025,22586464
47ff2d1ad20c,python,2d,high,1000,12:05:17,110889.0,110889.0,33.96212785100033,40070520
602f1decf85e,python,2d,mid,750,12:07:34,62500.000000000015,62500.0,16.367957731999923,22586464
dcef963195d9,python,2d,mid,750,12:07:58,62500.000000000015,62500.0,17.489299387999836,22586464
5cd877106bee,python,2d,low,500,12:09:14,27889.000000000004,27889.0,8.014653956000075,10102464
54a5792f9ba8,python,2d,mid,750,12:09:37,62500.000000000015,62500.0,17.10186118599995,22586464
4dcf1cfe4c7d,python,2d,high,1000,12:10:13,110889.0,110889.0,35.30071666200001,40070520
0d9a7b36110d,python,2d,high,1000,12:12:55,110889.0,110889.0,32.4757984769999,40070520
0e4ec374bdd2,python,2d,low,500,12:13:29,27889.000000000004,27889.0,8.19958381000015,10102464
96788f9a87ac,python,2d,high,1000,12:14:50,110889.0,110889.0,48.970001607000086,40070520
aafc3c69214b,python,2d,mid,750,12:19:39,62500.000000000015,62500.0,16.893050165000204,22586464
be83ff835922,python,2d,low,500,12:19:49,27889.000000000004,27889.0,7.976533468000071,10102464
810fa4aed104,python,2d,low,500,12:19:59,27889.000000000004,27889.0,8.214220061000105,10102464
7207981504ef,python,2d,low,500,12:20:41,27889.000000000004,27889.0,10.161388570999861,10102464
bffd5128de34,python,2d,low,500,12:21:22,27889.000000000004,27889.0,8.03495849400042,10102464
10fb71ffc27f,python,2d,low,500,12:21:32,27889.000000000004,27889.0,8.053452277999895,10102464
3896e3b0ff5d,python,2d,high,1000,12:22:08,110889.0,110889.0,35.20569449599998,40070520
c4abec698f1e,python,2d,high,1000,12:23:08,110889.0,110889.0,36.74131926500013,40070520
