ContainerID,language,dimension,Size,L_Value,Timestamp,CPUPerc,MemUsed,MemLimit,NetReceived,NetSent,BlockRead,BlockWritten
273b8813fa4c,julia,3d,high,100,17:31:38,96.07%,155MiB,7.463GiB,526B,0B,254kB,0B
273b8813fa4c,julia,3d,high,100,17:31:41,99.74%,246.4MiB,7.463GiB,2.21kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:31:44,100.25%,310.2MiB,7.463GiB,2.69kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:31:46,99.85%,373.7MiB,7.463GiB,3.09kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:31:49,100.14%,479.6MiB,7.463GiB,3.09kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:31:52,100.12%,539.5MiB,7.463GiB,3.16kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:31:54,100.01%,590.1MiB,7.463GiB,3.16kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:31:57,100.26%,596.3MiB,7.463GiB,3.36kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:32:00,100.13%,599.4MiB,7.463GiB,3.36kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:32:02,100.13%,645.2MiB,7.463GiB,3.36kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:32:05,100.26%,621.9MiB,7.463GiB,3.36kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:32:07,100.26%,621.9MiB,7.463GiB,3.36kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:32:10,100.38%,621.9MiB,7.463GiB,3.43kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:32:13,100.25%,621.9MiB,7.463GiB,3.63kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:32:15,100.14%,621.9MiB,7.463GiB,3.63kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:32:18,100.38%,621.9MiB,7.463GiB,3.63kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:32:21,99.75%,621.9MiB,7.463GiB,3.63kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:32:23,100.13%,621.9MiB,7.463GiB,3.63kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:32:26,99.73%,621.9MiB,7.463GiB,3.63kB,0B,385kB,0B
273b8813fa4c,julia,3d,high,100,17:32:28,100.02%,621.9MiB,7.463GiB,3.63kB,0B,385kB,0B
756862dc4c61,julia,3d,mid,75,17:32:48,100.12%,153.9MiB,7.463GiB,526B,0B,0B,0B
756862dc4c61,julia,3d,mid,75,17:32:51,100.54%,246.5MiB,7.463GiB,2.21kB,0B,0B,0B
756862dc4c61,julia,3d,mid,75,17:32:54,100.02%,310.3MiB,7.463GiB,2.88kB,0B,0B,0B
756862dc4c61,julia,3d,mid,75,17:32:56,99.61%,373.9MiB,7.463GiB,3.09kB,0B,0B,0B
