ContainerID,language,dimension,Size,L_Value,Timestamp,sum_t0,sum_tmax,t_exec,peak_mem
4402db61d58d,julia,1d,low,1000,08:41:57,333.0,333.0,0.003043804,24720
ff75806d8da4,julia,1d,high,10000,08:45:08,3333.0,3333.0,0.031124898,240480
26c8da5ccac4,julia,1d,low,1000,08:51:31,333.0,333.0,0.003042164,24720
3f95f3768c5b,julia,1d,low,1000,08:52:19,333.0,333.0,0.003050673,24720
40266ca11a37,julia,1d,high,10000,08:56:56,3333.0,3333.0,0.030419189,240480
d7dc424422d5,julia,1d,mid,2000,08:56:59,667.0,667.0,0.008482787,48720
6b79c1dbd808,julia,1d,low,1000,09:06:32,333.0,333.0,0.003057024,24720
37e24ad4aa03,julia,1d,mid,2000,09:06:54,667.0,667.0,0.008504466,48720
ef636c0df837,julia,1d,high,10000,09:06:57,3333.0,3333.0,0.030506963,240480
f284b282a967,julia,1d,low,1000,09:07:51,333.0,333.0,0.003701056,24720
509a4054eb3e,julia,1d,mid,2000,09:09:05,667.0,667.0,0.00870113,48720
32a0433d8f16,julia,1d,low,1000,09:12:27,333.0,333.0,0.003143769,24720
911e25e9df98,julia,1d,high,10000,09:13:25,3333.0,3333.0,0.030526595,240480
7a388bb2236f,julia,1d,mid,2000,09:17:25,667.0,667.0,0.008483258,48720
5b3c35600385,julia,1d,high,10000,09:17:31,3333.0,3333.0,0.030435375,240480
388baf3d3db4,julia,1d,low,1000,09:22:03,333.0,333.0,0.003050745,24720
9a2f7cdfa8ff,julia,1d,low,1000,09:22:30,333.0,333.0,0.003054616,24720
a961ac2adc90,julia,1d,low,1000,09:23:50,333.0,333.0,0.003040899,24720
be030d5322b9,julia,1d,low,1000,09:24:22,333.0,333.0,0.003051399,24720
4289cf02e70b,julia,1d,high,10000,09:24:43,3333.0,3333.0,0.031251889,240480
d99b479d75e8,julia,1d,low,1000,09:25:18,333.0,333.0,0.003050336,24720
778ea6939b51,julia,1d,high,10000,10:18:47,3333.0,3333.0,0.015433115,240480
5d92a7ae9d16,julia,1d,high,10000,10:18:53,3333.0,3333.0,0.015468522,240480
139b03823569,julia,1d,mid,2000,10:19:11,667.0,667.0,0.004240764,48720
315eb34145ef,julia,1d,high,10000,10:21:53,3333.0,3333.0,0.015250403,240480
5c4032d0393c,julia,1d,high,10000,10:22:12,3333.0,3333.0,0.015216341,240480
3e86c8090e18,julia,1d,mid,2000,10:22:50,667.0,667.0,0.004247978,48720
399a7b07d25e,julia,1d,high,10000,10:29:04,3333.0,3333.0,0.016983811,240480
62264c1f7f48,julia,1d,high,10000,10:32:55,3333.0,3333.0,0.025380263,240480
21138a8f57c5,julia,1d,high,10000,10:33:01,3333.0,3333.0,0.019919127,240480
b2c6b5687406,julia,1d,mid,2000,10:33:04,667.0,667.0,0.005256102,48720
dde621bc76cd,julia,1d,mid,2000,10:35:27,667.0,667.0,0.004297935,48720
596fa5c52a5d,julia,1d,high,10000,10:35:47,3333.0,3333.0,0.015244782,240480
c3f6ad297761,julia,1d,low,1000,10:36:51,333.0,333.0,0.001524276,24720
55008c6c6369,julia,1d,mid,2000,10:39:46,667.0,667.0,0.004262823,48720
4d22774130b6,julia,1d,low,1000,10:40:03,333.0,333.0,0.001533043,24720
f8a87d123a58,julia,1d,low,1000,10:40:35,333.0,333.0,0.001587842,24720
df236c81b341,julia,1d,low,1000,10:41:12,333.0,333.0,0.001528091,24720
11c11b7a0e1b,julia,1d,low,1000,10:42:22,333.0,333.0,0.001673777,24720
80d6f5f4993d,julia,1d,mid,2000,10:43:10,667.0,667.0,0.004270535,48720
b3576422560e,julia,1d,mid,2000,10:43:13,667.0,667.0,0.004287293,48720
a460385ea6e4,julia,1d,mid,2000,10:45:06,667.0,667.0,0.004243015,48720
714c643e44c0,julia,1d,mid,2000,10:45:12,667.0,667.0,0.004665998,48720
