ContainerID,language,dimension,Size,L_Value,Timestamp,sum_t0,sum_tmax,t_exec,peak_mem
215b8710595c,python,1d,mid,2000,17:38:02,667.0,667.0,0.10932229600439314,97936
849548a679ad,python,1d,mid,2000,17:38:35,667.0,667.0,0.11047775299812201,97936
4063be5719f5,python,1d,mid,2000,17:39:07,667.0,667.0,0.11220057000173256,97936
5ad0d2351dbe,python,1d,mid,2000,17:39:11,667.0,667.0,0.11022376900655217,97936
a4976fb311ce,python,1d,low,1000,17:40:29,332.99999999999994,333.0,0.09365153299586382,49936
6961b04aefed,python,1d,low,1000,17:42:19,332.99999999999994,333.0,0.09067839200724848,49936
4e77c3a78eff,python,1d,high,10000,17:44:33,3333.0,3333.0,0.21046830200066324,481936
37e733fc5d6e,python,1d,low,1000,17:45:29,332.99999999999994,333.0,0.09231803100556135,49936
e55d223bb8bc,python,1d,low,1000,17:46:20,332.99999999999994,333.0,0.09259172200108878,49936
945cd2ce942c,python,1d,low,1000,17:47:31,332.99999999999994,333.0,0.09088256799441297,49936
faea1610e891,python,1d,low,1000,17:48:07,332.99999999999994,333.0,0.09154250500432681,49936
b405aed6ac76,python,1d,mid,2000,17:50:05,667.0,667.0,0.10889600700465962,97936
2f3308078f04,python,1d,low,1000,17:56:06,332.99999999999994,333.0,0.09241396599099971,49936
f0d8a7c1d679,python,1d,high,10000,18:00:01,3333.0,3333.0,0.21930501899623778,481936
c00cce1183be,python,1d,high,10000,18:01:37,3333.0,3333.0,0.18825882500095759,481936
54501ba87821,python,1d,high,10000,18:05:32,3333.0,3333.0,0.18866745500417892,481936
ec7ee2aef274,python,1d,low,1000,18:05:35,332.99999999999994,333.0,0.09231532999547198,49936
27db4a6f5737,python,1d,low,1000,18:11:26,332.99999999999994,333.0,0.09103638499800581,49936
eddc522b1909,python,1d,low,1000,18:11:33,332.99999999999994,333.0,0.09109158700448461,49936
47ccaec20067,python,1d,high,10000,18:16:40,3333.0,3333.0,0.1900025770009961,481936
b5b72739e788,python,1d,high,10000,18:17:36,3333.0,3333.0,0.18937240600644145,481936
5625074ac89e,python,1d,low,1000,18:17:39,332.99999999999994,333.0,0.09075503499479964,49936
72f7553720a5,python,1d,mid,2000,18:18:12,667.0,667.0,0.11107828700914979,97936
0f5bfaf40f58,python,1d,high,10000,18:21:20,3333.0,3333.0,0.20894701599900145,481936
9ee14846fac1,python,1d,mid,2000,18:22:27,667.0,667.0,0.10670188900257926,97936
cf778726021d,python,1d,low,1000,18:27:25,332.99999999999994,333.0,0.09076225598983001,49936
51278807bf0f,python,1d,mid,2000,18:27:47,667.0,667.0,0.11022493800555822,97936
bea01210b4fc,python,1d,high,10000,18:28:52,3333.0,3333.0,0.18811698599893134,481936
8688b16a0ecd,python,1d,mid,2000,18:32:36,667.0,667.0,0.11008477500581648,97936
6d730cc87564,python,1d,mid,2000,18:33:16,667.0,667.0,0.11195296001096722,97936
996c20d33fb6,python,1d,mid,2000,18:34:36,667.0,667.0,0.10734991000208538,97936
ef4adf59a419,python,1d,low,1000,18:34:39,332.99999999999994,333.0,0.09175932400103193,49936
e571a314b926,python,1d,low,1000,18:34:46,332.99999999999994,333.0,0.0907644410035573,49936
07e94bac0bc1,python,1d,low,1000,18:35:47,332.99999999999994,333.0,0.09218463899742346,49936
523d33182a48,python,1d,low,1000,18:37:25,332.99999999999994,333.0,0.09202183900924865,49936
afa2114b2581,python,1d,high,10000,18:42:17,3333.0,3333.0,0.18932159800897352,481936
eddd1d7082c1,python,1d,mid,2000,18:43:35,667.0,667.0,0.10995364100381266,97936
d049e655ed73,python,1d,low,1000,18:49:11,332.99999999999994,333.0,0.09076777400332503,49936
4c184648c731,python,1d,mid,2000,18:49:14,667.0,667.0,0.10995531899970956,97936
25e63fda81a3,python,1d,low,1000,18:49:18,332.99999999999994,333.0,0.09017811200465076,49936
e23fa73b1966,python,1d,high,10000,18:59:32,3333.0,3333.0,0.18938649400661234,481936
0cd06ff56d61,python,1d,mid,2000,19:00:02,667.0,667.0,0.10965811200730968,97936
503f2c3f445d,python,1d,high,10000,19:02:56,3333.0,3333.0,0.18922993600426707,481936
6c609e74e725,python,1d,high,10000,19:03:00,3333.0,3333.0,0.18869561099563725,481936
7e581da35ac9,python,1d,mid,2000,19:06:18,667.0,667.0,0.11053481000999454,97936
72eb85de488b,python,1d,mid,2000,19:13:59,667.0,667.0,0.10633353699813597,97936
9b3612cbe135,python,1d,high,10000,19:17:47,3333.0,3333.0,0.18803927098633721,481936
d205abe95f7e,python,1d,mid,2000,19:19:29,667.0,667.0,0.10637389999465086,97936
6e9abcd23398,python,1d,high,10000,19:21:20,3333.0,3333.0,0.19035516399890184,481936
01b9c29d698f,python,1d,low,1000,19:21:23,332.99999999999994,333.0,0.09105037900735624,49936
ab2a48662fcf,python,1d,high,10000,19:21:26,3333.0,3333.0,0.2078943789965706,481936
b9667b418b34,python,1d,low,1000,19:21:32,332.99999999999994,333.0,0.0913644769898383,49936
f4d1490ad8f9,python,1d,high,10000,19:23:36,3333.0,3333.0,0.1890424410084961,481936
fe82739f4c5e,python,1d,high,10000,19:23:39,3333.0,3333.0,0.18817680000211112,481936
4e94e7ce1871,python,1d,low,1000,19:24:37,332.99999999999994,333.0,0.09126086199830752,49936
12780c865e28,python,1d,mid,2000,19:25:02,667.0,667.0,0.10951154200301971,97936
47a157f0855a,python,1d,high,10000,19:37:29,3333.0,3333.0,0.18886677200498525,481936
cc1713dd4ff4,python,1d,low,1000,19:38:21,332.99999999999994,333.0,0.09187438299704809,49936
c275933f2669,python,1d,mid,2000,19:40:18,667.0,667.0,0.10913798300316557,97936
dfd9ee4a9c77,python,1d,low,1000,19:43:25,332.99999999999994,333.0,0.0903665700025158,49936
aedf64407c55,python,1d,mid,2000,19:51:21,667.0,667.0,0.10632411399274133,97936
0265acef1186,python,1d,high,10000,19:51:49,3333.0,3333.0,0.208399881987134,481936
b5a29a2bc36a,python,1d,low,1000,19:52:41,332.99999999999994,333.0,0.09420032500929665,49936
3338d6d9b28c,python,1d,high,10000,19:55:40,3333.0,3333.0,0.20846273099596146,481936
ef7075a4664a,python,1d,low,1000,19:57:00,332.99999999999994,333.0,0.09102848399197683,49936
2312d52c8571,python,1d,high,10000,20:04:11,3333.0,3333.0,0.19148571199912112,481936
a54f1d063c15,python,1d,mid,2000,20:04:43,667.0,667.0,0.10735041700536385,97936
c8533aba1aed,python,1d,low,1000,20:05:32,332.99999999999994,333.0,0.09216994000598788,49936
607e3af0bfe5,python,1d,high,10000,20:08:14,3333.0,3333.0,0.18876404900220223,481936
79ad9e9d490e,python,1d,high,10000,20:09:56,3333.0,3333.0,0.1885385409987066,481936
950cd0bd0bb1,python,1d,high,10000,20:10:43,3333.0,3333.0,0.18872751799062826,481936
b8d0499ca471,python,1d,high,10000,20:11:16,3333.0,3333.0,0.18831240900908597,481936
d006c9bcbbec,python,1d,mid,2000,20:11:19,667.0,667.0,0.10898323499714024,97936
9a6b5ef984bc,python,1d,mid,2000,20:11:22,667.0,667.0,0.10675755099509843,97936
60b6ff14aee0,python,1d,mid,2000,20:13:10,667.0,667.0,0.11029870300262701,97936
7c1f4315cfc6,python,1d,mid,2000,20:16:46,667.0,667.0,0.11049267998896539,97936
56a4db4a44fb,python,1d,high,10000,20:18:47,3333.0,3333.0,0.18889413600845728,481936
97bbc5103e80,python,1d,high,10000,20:20:35,3333.0,3333.0,0.2091648189962143,481936
319fe2874372,python,1d,low,1000,20:27:05,332.99999999999994,333.0,0.09098974999506027,49936
20770945339c,python,1d,low,1000,20:29:57,332.99999999999994,333.0,0.09355516100185923,49936
5da2a35f2f57,python,1d,high,10000,20:32:57,3333.0,3333.0,0.18971491999400314,481936
a630a426d5ba,python,1d,mid,2000,20:34:15,667.0,667.0,0.10972425200452562,97936
c9f223ec0ccb,python,1d,high,10000,20:37:16,3333.0,3333.0,0.2586488490051124,481936
b5366053bf8b,python,1d,low,1000,20:38:27,332.99999999999994,333.0,0.09169472199573647,49936
6047e20c0c8a,python,1d,mid,2000,20:39:57,667.0,667.0,0.11049466900294647,97936
68cc7ca20b63,python,1d,mid,2000,20:45:03,667.0,667.0,0.11022337000758853,97936
284acd459b73,python,1d,mid,2000,20:46:46,667.0,667.0,0.10715588700259104,97936
47c4fe8e2be5,python,1d,high,10000,20:46:55,3333.0,3333.0,0.20757195600890554,481936
e08b15df39d1,python,1d,mid,2000,20:49:07,667.0,667.0,0.10974816999805626,97936
7a34c100f9a6,python,1d,low,1000,20:49:10,332.99999999999994,333.0,0.09121249800955411,49936
